Symbol,Last,Bars,Close,High,Low,RSI14,MA10,MA20,MA50,ATR14_pct,TrendScore,MomentumScore,ExplosivenessScore,BreakoutScore,VolumeScore,VolatilityScore,OscillatorScore,TrendQualityScore,RiskScore,TechRating,SwingLow10,SwingHigh10,RecentLow5,RecentHigh5,AvgVol20,AvgDollarVol20,Signal,TradeType,Sector,Industry,EntryPrice,StopPrice,TargetPrice,RewardRisk,PositionSize
ABEV,2.54,112,2.54,2.56,2.53,,2.508,2.47,2.3198,0.020793025871766024,3,0,1,1,-1,2,0,2,0.0,0.0,2.42,2.5899,2.43,2.56,32336964.9,82135890.846,Avoid,Avoid,,,,,,,0
ABG,232.57,112,232.57,235.505,231.67,,223.698,225.63500000000005,236.13600000000002,0.03404093391237048,0,2,1,0,-1,0,2,1,0.0,0.0,210.67,241.97,212.74,241.97,170337.65,39615427.2605,Avoid,Avoid,,,,,,,0
AARD,9.98,112,9.98,10.44,9.805,,9.79,10.119,12.069600000000001,0.08459275694245633,-1,1,1,0,0,2,2,-1,0.0,0.0,8.82,11.23,8.82,10.44,150065.35,1497652.1930000002,Avoid,Avoid,,,,,,,0
AAMI,44.84,112,44.84,45.48,44.81,,43.594,44.1085,45.99980000000001,0.03429654645087295,-1,1,1,0,-1,2,2,1,0.0,0.0,41.47,45.885,42.16,45.885,226346.15,10149361.366,Avoid,Avoid,,,,,,,0
AAL,14.05,112,14.05,14.09,13.87,,12.943999999999999,13.0805,12.4754,0.03746059989832232,2,2,2,3,0,0,2,0,0.0,0.0,12.11,14.106,12.32,14.106,52717862.3,740685965.3149999,Avoid,Avoid,,,,,,,0
AA,41.74,112,41.74,42.17,41.48,,38.004,37.67700000000001,36.434200000000004,0.04697446779382574,3,2,2,3,-1,0,2,2,0.0,0.0,35.12,42.17,35.12,42.17,5621913.4,234658665.316,Avoid,Avoid,,,,,,,0
A,153.5,112,153.5,154.56,153.22,,149.456,148.344,141.8368,0.02869302000930665,3,2,3,0,0,0,1,0,0.0,0.0,140.24,160.27,144.47,160.27,1965561.65,301713713.275,Avoid,Avoid,,,,,,,0
ACIC,11.95,112,11.95,11.985,11.895,,11.700999999999999,11.869,11.7742,0.024529587567244493,1,1,2,0,-1,0,2,-1,0.0,0.0,11.18,12.065,11.23,12.065,160002.9,1912034.6549999998,Avoid,Avoid,,,,,,,0
ACI,18.33,112,18.33,18.41,18.095,,17.951999999999998,17.796,17.9782,0.020054165692463596,2,2,2,2,-1,2,2,1,0.0,0.0,17.19,18.41,17.19,18.41,9002951.6,165024102.82799998,Avoid,Avoid,,,,,,,0
ACHV,4.87,112,4.87,4.92,4.77,,4.354000000000001,4.568,4.0542,0.06873569961865653,0,-1,1,0,-1,2,0,1,0.0,0.0,3.82,4.99,3.82,4.99,687515.35,3348199.7545,Avoid,Avoid,,,,,,,0
ACHC,17.2,112,17.2,17.3251,16.875,,15.701999999999998,17.542,21.576,0.0511420265780731,0,1,1,0,-1,0,2,1,0.0,0.0,14.3,17.58,14.33,17.58,2707594.3,46570621.95999999,Avoid,Avoid,,,,,,,0
ACEL,10.24,112,10.24,10.3,10.09,,9.957,10.0715,10.4296,0.025726841517857143,1,2,1,0,-1,0,2,-1,0.0,0.0,9.55,10.36,9.6,10.36,348130.1,3564852.224,Avoid,Avoid,,,,,,,0
ACN,250.0,112,250.0,251.45,245.1301,,245.096,245.42650000000003,244.93900000000002,0.025129942857142852,3,2,2,1,-1,1,2,2,0.0,0.0,237.43,253.97,241.285,253.97,3520820.7,880205175.0,Avoid,Avoid,,,,,,,0
ACM,103.13,112,103.13,106.21,102.8,,113.15899999999999,122.527,127.76359999999998,0.04319167209208908,0,-1,2,-3,0,-2,0,2,0.0,-0.0,102.54,134.36,102.54,106.4,1423175.55,146772094.4715,Avoid,Avoid,,,,,,,0
ACLS,82.77,112,82.77,83.36,81.6808,,79.51599999999999,81.567,85.3501,0.04324902052158306,1,1,2,0,-1,0,2,1,0.0,0.0,73.6,84.26,73.6,84.26,660654.8,54682397.796000004,Avoid,Avoid,,,,,,,0
ACRS,2.83,112,2.83,2.9189,2.76,,2.603,2.4739999999999998,2.199,0.07538616860171629,3,2,2,0,-1,0,2,3,0.0,0.0,2.2501,2.9189,2.342,2.9189,1362826.25,3856798.2875,Avoid,Avoid,,,,,,,0
ACRV,2.36,112,2.36,2.41,2.33,,2.3369999999999997,2.21,1.9905999999999997,0.07816888619854719,3,2,1,0,-1,0,1,1,0.0,0.0,2.0,2.481,2.18,2.41,1278187.3,3016522.028,Avoid,Avoid,,,,,,,0
ACTG,3.74,112,3.74,3.75,3.66,,3.591,3.5660000000000003,3.4583999999999997,0.03589381207028266,3,2,2,3,-1,0,2,2,0.0,0.0,3.43,3.75,3.48,3.75,234607.95,877433.7330000001,Avoid,Avoid,,,,,,,0
ACVA,7.85,112,7.85,7.905,7.6855,,6.94,6.919,8.435599999999999,0.05194540491355778,0,1,1,0,-1,0,2,2,0.0,0.0,5.9907,7.905,6.58,7.905,6982144.75,54809836.287499994,Avoid,Avoid,,,,,,,0
ABAT,3.74,112,3.74,3.82,3.6,,3.596,3.88525,4.9737,0.11058441558441559,0,1,1,0,-1,2,2,1,0.0,0.0,3.23,4.25,3.23,3.82,7820310.95,29247962.953,Avoid,Avoid,,,,,,,0
ABBV,227.7,112,227.7,228.09,225.51,,231.554,226.28999999999996,227.53959999999998,0.027507058159232087,0,-1,1,0,-1,0,-1,1,0.0,-0.0,225.51,238.15,225.51,238.01,6524481.15,1485624357.855,Avoid,Avoid,,,,,,,0
ABCB,75.76,112,75.76,76.44,75.64,,73.50800000000001,73.3175,73.419,0.026535865138029864,2,2,3,1,-1,0,2,1,0.0,0.0,69.58,77.15,72.115,77.15,429986.8,32575799.968000002,Avoid,Avoid,,,,,,,0
AAUC,21.11,112,21.11,21.5099,19.97,,17.355,16.538999999999998,17.325,0.04888813696961495,3,2,3,3,3,0,2,0,0.0,0.0,15.62,21.5099,15.62,21.5099,564489.65,11916376.511500001,Avoid,Avoid,,,,,,,0
ABSI,3.17,112,3.17,3.19,3.0801,,2.937,3.2622500000000003,3.5604,0.08426318161333936,0,1,1,0,-1,0,2,2,0.0,0.0,2.61,3.19,2.705,3.19,4588534.75,14545655.157499999,Avoid,Avoid,,,,,,,0
ABT,128.9,112,128.9,129.39,128.0,,128.153,127.08049999999999,129.5454,0.02148392995677716,2,2,1,0,-1,0,2,0,0.0,0.0,122.095,132.025,123.885,129.52,6701473.1,863819882.59,Avoid,Avoid,,,,,,,0
ABUS,4.41,112,4.41,4.455,4.365,,4.37,4.488,4.4456,0.0497214123744736,0,-1,1,0,-1,0,0,1,0.0,-0.0,4.08,4.69,4.16,4.455,1050557.35,4632957.913500001,Avoid,Avoid,,,,,,,0
ABTC,4.24,62,4.24,4.44,4.2,,4.585,4.697,5.561600000000001,0.1035394204851752,0,-1,1,0,0,2,-1,2,0.0,0.0,4.07,5.3565,4.07,4.5872,3166520.7,13426047.768000001,Avoid,Avoid,,,,,,,0
ABVX,124.83,112,124.83,126.97,123.85,,119.72600000000003,111.273,98.06970000000001,0.05426511484189927,3,2,3,0,-1,-1,1,3,0.0,0.0,103.0,130.25,114.06,130.25,1292467.25,161338686.8175,Avoid,Avoid,,,,,,,0
ACA,106.54,112,106.54,106.9,105.805,,102.223,101.284,96.2368,0.029274652042157207,3,2,2,3,-1,2,2,2,0.0,0.0,96.4001,108.5,99.325,108.5,255615.5,27233275.37,Avoid,Avoid,,,,,,,0
ACAD,25.04,112,25.04,25.12,24.56,,23.953,23.3345,22.3374,0.037753879507074414,3,2,2,3,-1,0,2,3,0.0,0.0,22.81,25.2,22.84,25.2,1590678.7,39830594.647999994,Avoid,Avoid,,,,,,,0
ABVE,3.0,112,3.0,3.16,2.52,,2.259,2.6325,3.1438,0.12657380952380953,0,1,2,0,3,2,2,2,0.0,0.0,1.83,3.16,1.84,3.16,2514672.75,7544018.25,Avoid,Avoid,,,,,,,0
ACB,4.6,112,4.6,4.6256,4.5301,,4.3660000000000005,4.477,5.0248,0.0400170807453416,0,1,1,0,-1,2,2,1,0.0,0.0,3.99,4.6256,3.99,4.6256,1042284.5,4794508.699999999,Avoid,Avoid,,,,,,,0
ACCO,3.44,112,3.44,3.4476,3.39,,3.3649999999999998,3.4564999999999997,3.7706,0.029923172757475074,0,1,1,0,-1,2,2,1,0.0,0.0,3.2,3.518,3.2,3.46,916578.5,3153030.04,Avoid,Avoid,,,,,,,0
ACDC,3.54,112,3.54,3.61,3.3645,,3.507,4.1195,4.0494,0.09301654560129136,0,-1,1,0,-1,0,0,2,0.0,0.0,3.08,4.0394,3.08,3.61,1728876.8,6120223.872,Avoid,Avoid,,,,,,,0
ABL,6.63,112,6.63,6.83,6.47,,6.1579999999999995,6.016,5.880599999999999,0.0651219133807369,3,2,1,0,-1,0,2,3,0.0,0.0,5.57,6.83,5.57,6.83,838185.1,5557167.2129999995,Avoid,Avoid,,,,,,,0
ABM,43.0,112,43.0,43.245,42.89,,41.814,42.225,44.0996,0.02150348837209303,2,2,1,0,-1,2,2,1,0.0,0.0,40.0,43.52,41.56,43.52,509174.2,21894490.6,Avoid,Avoid,,,,,,,0
ABNB,116.99,112,116.99,117.79,116.4,,116.19800000000001,119.3595,122.0384,0.026274284737401232,0,-1,1,0,-1,0,0,2,0.0,0.0,110.81,122.75,111.84,119.24,5715002.9,668598189.271,Avoid,Avoid,,,,,,,0
ABP,6.8,112,6.8,6.8,6.3915,,6.444,6.0503,6.178100000000001,0.07255357142857143,3,1,3,0,-1,-1,1,1,0.0,0.0,5.34,7.34,6.0901,7.34,207181.175,1408831.99,Avoid,Avoid,,,,,,,0
ABCL,3.73,112,3.73,3.755,3.635,,3.604,4.0295000000000005,4.909199999999999,0.06673496744542322,0,1,1,0,0,0,2,2,0.0,0.0,3.33,3.83,3.33,3.78,5232049.95,19515546.313500002,Avoid,Avoid,,,,,,,0
ALIT,2.31,112,2.31,2.35,2.29,,2.141,2.3075,2.7962000000000002,0.05657390228818798,0,1,1,0,-1,0,2,1,0.0,0.0,1.89,2.405,1.89,2.405,13946567.1,32216570.001,Avoid,Avoid,,,,,,,0
ADUS,120.2,112,120.2,121.16,119.16,,113.381,114.043,115.72279999999999,0.028782327073924394,3,2,2,1,-1,0,2,1,0.0,0.0,105.9101,121.96,109.79,121.96,210648.5,25319949.7,Avoid,Avoid,,,,,,,0
ADTX,3.8,112,3.8,4.15,3.49,,3.5439599999999998,4.70559,40.438514,0.19429135338345868,0,1,2,0,3,2,2,1,0.0,0.0,2.4,5.413,2.4,4.15,1523574.55929,5789583.325302,Avoid,Avoid,,,,,,,0
ADTN,7.93,112,7.93,8.05,7.89,,7.513,8.002500000000001,8.837200000000001,0.04026121419564043,0,1,1,0,-1,0,2,1,0.0,0.0,7.11,8.095,7.24,8.095,1926651.75,15278348.3775,Avoid,Avoid,,,,,,,0
ADSK,303.34,112,303.34,304.0,299.4215,,294.1515,296.99224999999996,306.6279,0.025320244139061334,2,2,2,1,-1,1,2,2,0.0,0.0,286.32,320.0,286.32,320.0,1487043.15,451079669.12099993,Avoid,Avoid,,,,,,,0
ADT,8.25,112,8.25,8.27,8.15,,8.019,8.169500000000001,8.4606,0.019927272727272745,0,1,0,0,-1,0,2,1,0.0036363636363627716,0.0,7.79,8.4,7.7936,8.27,8093003.65,66767280.112500004,Avoid,Avoid,,,,,,,0
ADPT,19.66,112,19.66,19.72,19.25,,17.18,16.462,15.8386,0.057785568958000307,3,1,3,0,-1,-1,1,3,0.0,0.0,13.28,20.76,16.18,20.76,2426537.85,47705734.131000005,Avoid,Avoid,,,,,,,0
ADNT,19.46,112,19.46,19.7,19.37,,19.142000000000003,20.195,22.430799999999998,0.044334899427396844,0,1,1,0,-1,0,2,1,0.0,0.0,17.7,20.865,17.755,19.9,1376111.45,26779128.817,Avoid,Avoid,,,,,,,0
ADCT,4.3,112,4.3,4.42,4.265,,4.135,4.125,4.1122000000000005,0.06046179401993357,1,1,1,0,-1,2,2,2,0.0,0.0,3.91,4.45,3.95,4.45,743271.15,3196065.945,Avoid,Avoid,,,,,,,0
ADMA,19.18,112,19.18,19.4366,18.8214,,17.201,16.2155,15.4971,0.04114330403694325,3,2,3,1,-1,-2,2,3,0.0,0.0,15.22,19.48,16.3,19.48,3943706.05,75640282.03899999,Avoid,Avoid,,,,,,,0
ADM,60.74,112,60.74,61.08,60.41,,59.275,58.6845,60.369800000000005,0.02751293569782211,2,2,2,1,-1,1,2,1,0.0,0.0,56.8,61.13,57.735,61.08,3777327.25,229434857.16500002,Avoid,Avoid,,,,,,,0
ADI,265.34,112,265.34,265.75,258.0401,,239.93599999999998,236.91099999999997,239.3886,0.03114844566001571,2,2,2,3,-1,-1,2,1,0.0,0.0,224.25,265.75,225.0,265.75,4095640.4,1086737223.7359998,Avoid,Avoid,,,,,,,0
ADEA,12.37,112,12.37,12.385,12.25,,12.263,13.1755,15.413,0.03991049774800785,0,1,1,0,-1,2,2,1,0.0,0.0,11.61,13.18,11.61,12.58,1077245.5,13325526.834999999,Avoid,Avoid,,,,,,,0
ADAG,2.01,112,2.01,2.14,2.0,,1.90334,1.7834200000000002,1.86287,0.1061087420042644,3,1,3,0,-1,0,1,1,0.0,0.0,1.74,2.14,1.74,2.14,266311.25,535285.6124999999,Avoid,Avoid,,,,,,,0
ADAM,7.62,62,7.62,7.675,7.56,,7.221000000000001,7.077500000000001,7.0043999999999995,0.021856955380577442,3,2,3,1,-1,-1,2,3,0.0,0.0,6.88,7.75,6.93,7.75,595159.5,4535115.39,Avoid,Avoid,,,,,,,0
ADBE,320.13,112,320.13,322.31,317.52,,321.128,327.348,340.374,0.02270999281541874,0,-1,1,0,-1,2,0,2,0.0,0.0,311.585,333.75,311.585,327.75,3490452.45,1117398542.8185,Avoid,Avoid,,,,,,,0
ACLX,72.71,112,72.71,74.0,71.805,,83.36099999999999,85.69575,84.8732,0.0701050160127316,0,-1,2,-3,-1,-2,-1,1,0.0,-0.0,71.05,93.24,71.05,92.7,924532.55,67222761.7105,Avoid,Avoid,,,,,,,0
ACRE,5.3,112,5.3,5.3,5.2,,5.007,4.846500000000001,4.702,0.032266846361186007,3,2,3,3,-1,0,2,3,0.0,0.0,4.71,5.3,4.7688,5.3,487195.2,2582134.56,Avoid,Avoid,,,,,,,0
ACNT,14.17,112,14.17,14.3349,14.09,,14.137,13.4165,12.784600000000001,0.03464966226434116,3,2,2,0,-1,-1,1,3,0.0,0.0,13.475,14.73,13.66,14.73,108302.35,1534644.2995,Avoid,Avoid,,,,,,,0
AD,49.18,77,49.18,49.34,47.9949,,46.263000000000005,46.8405,48.3844,0.026785859524777817,2,2,2,1,-1,0,2,2,0.0,0.0,44.03,49.34,45.06,49.34,213664.05,10507997.979,Avoid,Avoid,,,,,,,0
AEYE,12.36,112,12.36,12.58,12.17,,11.841000000000001,12.714,13.505,0.05986072584373558,0,1,2,0,-1,0,2,1,0.0,0.0,11.04,12.92,11.04,12.58,109575.9,1354358.1239999998,Avoid,Avoid,,,,,,,0
AFCG,2.92,112,2.92,2.96,2.85,,2.8274999999999997,3.00525,3.4147,0.05650929549902155,0,1,2,0,-1,0,2,1,0.0,0.0,2.52,3.14,2.53,2.96,188880.85,551532.082,Avoid,Avoid,,,,,,,0
AEVA,11.15,112,11.15,11.23,10.545,,10.106,11.662749999999999,14.699899999999998,0.08974119154388215,0,1,1,0,-1,0,2,2,0.0,0.0,8.83,11.23,9.04,11.23,2124043.95,23683090.042500004,Avoid,Avoid,,,,,,,0
AG,15.23,112,15.23,15.26,13.85,,12.245000000000001,12.0445,12.5366,0.0562095488228121,3,2,1,2,2,0,2,1,0.0,0.0,10.72,15.26,10.72,15.26,15767605.6,240140633.288,Avoid,Avoid,,,,,,,0
AGI,37.5,112,37.5,37.67,36.8517,,34.230000000000004,32.955,33.2946,0.039748,3,2,2,3,-1,0,2,0,0.0,0.0,31.72,37.67,31.9811,37.67,2851007.8,106912792.5,Avoid,Avoid,,,,,,,0
AGIO,29.2,112,29.2,29.3,28.45,,31.9575,36.792249999999996,39.2215,0.12624730919765167,0,-1,2,0,-1,-2,0,2,0.0,0.0,22.24,46.0,23.0,29.46,2313326.05,67549120.66,Avoid,Avoid,,,,,,,0
AES,14.06,112,14.06,14.08,13.91,,13.815000000000001,13.892,14.0294,0.028238162975005063,1,2,1,0,-1,2,2,0,0.0,0.0,13.28,14.18,13.28,14.08,8738698.5,122866100.91000001,Avoid,Avoid,,,,,,,0
AEXA,11.23,45,11.23,11.24,11.085,,11.004,11.144,,0.02122058262307594,0,2,1,0,-1,0,2,2,0.0,0.0,10.7,11.28,10.7,11.25,313515.55,3520779.6265,Avoid,Avoid,,,,,,,0
